Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
6.3e-4,6.3e-4,0.84385,6.3e-4,6.3e-4,0.15108,6.3e-4,6.3e-4,6.3e-4,6.3e-4
0.97567,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
2.5e-4,2.5e-4,2.5e-4,0.48403,0.06979,0.39774,0.04691,2.5e-4,2.5e-4,2.5e-4
5.1e-4,5.1e-4,0.45077,0.17374,5.1e-4,5.1e-4,0.37195,5.1e-4,5.1e-4,5.1e-4
3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,0.99717,3.1e-4,3.1e-4,3.1e-4
4.7e-4,4.7e-4,4.7e-4,0.72325,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.16317,0.11027
0.06177,2.8e-4,2.8e-4,0.93597,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4
4.3e-4,4.3e-4,0.48429,4.3e-4,4.3e-4,0.07902,4.3e-4,4.3e-4,0.43368,4.3e-4
5e-4,0.59293,0.26409,5e-4,5e-4,5e-4,5e-4,5e-4,0.1395,5e-4
2.8e-4,0.07224,2.8e-4,0.24036,0.32317,0.19143,2.8e-4,2.8e-4,0.17138,2.8e-4
0.05608,2.3e-4,2.3e-4,2.3e-4,0.02265,0.02563,2.3e-4,2.3e-4,0.89424,2.3e-4
